Sequence_ID,Sim_95,Sim_90,Sim_70,Sim_50,Sim_40,Sim_30
EColi1736_0,C95_EColi1736_0,C90_EColi1736_0,C70_EColi1736_0,C50_EColi1736_0,C40_EColi1736_0,C30_EColi3807_0
EColi1737_1,C95_EColi1737_1,C90_EColi1737_1,C70_EColi1737_1,C50_EColi1737_1,C40_EColi3051_0,C30_EColi3051_0
EColi1738_1,C95_EColi1738_1,C90_EColi1738_1,C70_EColi1738_1,C50_EColi1738_1,C40_EColi1738_1,C30_EColi1738_1
EColi1739_1,C95_EColi1739_1,C90_EColi1739_1,C70_EColi1739_1,C50_EColi1739_1,C40_EColi1739_1,C30_EColi1799_1
EColi1740_1,C95_EColi1740_1,C90_EColi1740_1,C70_EColi1740_1,C50_EColi1740_1,C40_EColi1740_1,C30_EColi3271_0
EColi1741_1,C95_EColi1741_1,C90_EColi1741_1,C70_EColi1741_1,C50_EColi1741_1,C40_EColi1741_1,C30_EColi1741_1
EColi1742_1,C95_EColi1742_1,C90_EColi1742_1,C70_EColi1742_1,C50_EColi1742_1,C40_EColi1742_1,C30_EColi1742_1
EColi1743_1,C95_EColi1743_1,C90_EColi1743_1,C70_EColi1743_1,C50_EColi1743_1,C40_EColi1743_1,C30_EColi960_0
EColi1744_1,C95_EColi1744_1,C90_EColi1744_1,C70_EColi1744_1,C50_EColi1744_1,C40_EColi1744_1,C30_EColi5472_0
EColi1745_2,C95_EColi1745_2,C90_EColi1745_2,C70_EColi1745_2,C50_EColi1745_2,C40_EColi1745_2,C30_EColi1745_2
EColi1746_2,C95_EColi1746_2,C90_EColi1746_2,C70_EColi1746_2,C50_EColi1746_2,C40_EColi1746_2,C30_EColi1746_2
EColi1747_0,C95_EColi1747_0,C90_EColi1747_0,C70_EColi1747_0,C50_EColi1747_0,C40_EColi1747_0,C30_EColi3477_2
EColi1748_2,C95_EColi1748_2,C90_EColi1748_2,C70_EColi1748_2,C50_EColi1748_2,C40_EColi400_2,C30_EColi400_2
EColi1749_1,C95_EColi1749_1,C90_EColi1749_1,C70_EColi1749_1,C50_EColi1749_1,C40_EColi1749_1,C30_EColi1749_1
EColi1750_1,C95_EColi1750_1,C90_EColi1750_1,C70_EColi1750_1,C50_EColi1750_1,C40_EColi1750_1,C30_EColi1750_1
EColi1751_1,C95_EColi1751_1,C90_EColi1751_1,C70_EColi1751_1,C50_EColi1751_1,C40_EColi1751_1,C30_EColi2638_0
EColi1752_2,C95_EColi1752_2,C90_EColi1752_2,C70_EColi1752_2,C50_EColi1752_2,C40_EColi1752_2,C30_EColi1752_2
EColi1753_1,C95_EColi1753_1,C90_EColi1753_1,C70_EColi1753_1,C50_EColi1753_1,C40_EColi4894_2,C30_EColi4894_2
EColi1754_1,C95_EColi1754_1,C90_EColi1754_1,C70_EColi1754_1,C50_EColi1754_1,C40_EColi1754_1,C30_EColi1754_1
EColi1755_2,C95_EColi1755_2,C90_EColi1755_2,C70_EColi1755_2,C50_EColi1755_2,C40_EColi1755_2,C30_EColi1749_1
EColi1756_2,C95_EColi1756_2,C90_EColi1756_2,C70_EColi1756_2,C50_EColi1756_2,C40_EColi1756_2,C30_EColi1756_2
EColi1757_2,C95_EColi1757_2,C90_EColi1757_2,C70_EColi1757_2,C50_EColi1757_2,C40_EColi1411_2,C30_EColi5558_1
EColi1758_2,C95_EColi1758_2,C90_EColi1758_2,C70_EColi1758_2,C50_EColi1758_2,C40_EColi1758_2,C30_EColi1758_2
EColi1759_2,C95_EColi1759_2,C90_EColi1759_2,C70_EColi1759_2,C50_EColi1759_2,C40_EColi1759_2,C30_EColi1759_2
EColi1760_1,C95_EColi1760_1,C90_EColi1760_1,C70_EColi1760_1,C50_EColi1760_1,C40_EColi1760_1,C30_EColi1727_1
EColi1761_1,C95_EColi1761_1,C90_EColi1761_1,C70_EColi1761_1,C50_EColi1761_1,C40_EColi1761_1,C30_EColi1574_0
EColi1762_2,C95_EColi1762_2,C90_EColi1762_2,C70_EColi1762_2,C50_EColi4637_2,C40_EColi4637_2,C30_EColi4637_2
EColi1763_1,C95_EColi1763_1,C90_EColi1763_1,C70_EColi1763_1,C50_EColi1763_1,C40_EColi1763_1,C30_EColi1763_1
EColi1764_1,C95_EColi1764_1,C90_EColi1764_1,C70_EColi1764_1,C50_EColi1764_1,C40_EColi1764_1,C30_EColi1764_1
EColi1765_1,C95_EColi1765_1,C90_EColi1765_1,C70_EColi1765_1,C50_EColi1765_1,C40_EColi1765_1,C30_EColi1765_1
EColi1766_1,C95_EColi1766_1,C90_EColi1766_1,C70_EColi1766_1,C50_EColi1766_1,C40_EColi1766_1,C30_EColi4694_0
EColi1767_2,C95_EColi1767_2,C90_EColi1767_2,C70_EColi1767_2,C50_EColi1767_2,C40_EColi1767_2,C30_EColi1767_2
EColi1768_1,C95_EColi1768_1,C90_EColi1768_1,C70_EColi1768_1,C50_EColi1768_1,C40_EColi1768_1,C30_EColi1768_1
EColi1769_1,C95_EColi1769_1,C90_EColi1769_1,C70_EColi1769_1,C50_EColi1769_1,C40_EColi1769_1,C30_EColi1769_1
EColi1770_2,C95_EColi1770_2,C90_EColi1770_2,C70_EColi1770_2,C50_EColi1770_2,C40_EColi1770_2,C30_EColi1770_2
EColi1771_1,C95_EColi1771_1,C90_EColi1771_1,C70_EColi1771_1,C50_EColi1771_1,C40_EColi1771_1,C30_EColi4242_0
EColi1772_2,C95_EColi1772_2,C90_EColi1772_2,C70_EColi1772_2,C50_EColi1772_2,C40_EColi1772_2,C30_EColi1772_2
EColi1773_1,C95_EColi1773_1,C90_EColi1773_1,C70_EColi1773_1,C50_EColi1773_1,C40_EColi1773_1,C30_EColi3578_1
EColi1774_1,C95_EColi1774_1,C90_EColi1774_1,C70_EColi1774_1,C50_EColi1774_1,C40_EColi1774_1,C30_EColi2693_2
EColi1775_1,C95_EColi1775_1,C90_EColi1775_1,C70_EColi1775_1,C50_EColi1775_1,C40_EColi1775_1,C30_EColi5043_0
EColi1776_2,C95_EColi1776_2,C90_EColi1776_2,C70_EColi1776_2,C50_EColi1776_2,C40_EColi1776_2,C30_EColi1776_2
EColi1777_1,C95_EColi1777_1,C90_EColi1777_1,C70_EColi1777_1,C50_EColi1777_1,C40_EColi1777_1,C30_EColi1777_1
EColi1778_2,C95_EColi1778_2,C90_EColi1778_2,C70_EColi1778_2,C50_EColi1778_2,C40_EColi1778_2,C30_EColi1778_2
EColi1779_0,C95_EColi1779_0,C90_EColi1779_0,C70_EColi1779_0,C50_EColi1779_0,C40_EColi1779_0,C30_EColi279_2
EColi1780_1,C95_EColi1780_1,C90_EColi1780_1,C70_EColi1780_1,C50_EColi1780_1,C40_EColi1780_1,C30_EColi1780_1
EColi1781_1,C95_EColi1781_1,C90_EColi1781_1,C70_EColi1781_1,C50_EColi1781_1,C40_EColi1781_1,C30_EColi109_0
EColi1782_1,C95_EColi1782_1,C90_EColi1782_1,C70_EColi1782_1,C50_EColi1782_1,C40_EColi2114_0,C30_EColi5309_0
EColi1783_2,C95_EColi1783_2,C90_EColi1783_2,C70_EColi1783_2,C50_EColi1783_2,C40_EColi1783_2,C30_EColi1783_2
EColi1784_1,C95_EColi1784_1,C90_EColi1784_1,C70_EColi1784_1,C50_EColi1784_1,C40_EColi1784_1,C30_EColi1784_1
EColi1785_2,C95_EColi1785_2,C90_EColi1785_2,C70_EColi1785_2,C50_EColi1785_2,C40_EColi2498_2,C30_EColi2498_2
EColi1786_2,C95_EColi1786_2,C90_EColi1786_2,C70_EColi1786_2,C50_EColi1786_2,C40_EColi1786_2,C30_EColi1786_2
EColi1787_1,C95_EColi1787_1,C90_EColi1787_1,C70_EColi1787_1,C50_EColi1787_1,C40_EColi1787_1,C30_EColi356_1
EColi1788_1,C95_EColi1788_1,C90_EColi1788_1,C70_EColi1788_1,C50_EColi1788_1,C40_EColi1788_1,C30_EColi1788_1
EColi1789_1,C95_EColi1789_1,C90_EColi1789_1,C70_EColi1789_1,C50_EColi1789_1,C40_EColi1789_1,C30_EColi1789_1
EColi1790_1,C95_EColi1790_1,C90_EColi1790_1,C70_EColi1790_1,C50_EColi1790_1,C40_EColi1790_1,C30_EColi1790_1
EColi1791_2,C95_EColi1791_2,C90_EColi1791_2,C70_EColi1791_2,C50_EColi1791_2,C40_EColi1791_2,C30_EColi1791_2
EColi1792_1,C95_EColi1792_1,C90_EColi1792_1,C70_EColi1792_1,C50_EColi714_2,C40_EColi714_2,C30_EColi1100_1
EColi1793_1,C95_EColi1793_1,C90_EColi1793_1,C70_EColi1793_1,C50_EColi3945_2,C40_EColi1040_0,C30_EColi1040_0
EColi1794_0,C95_EColi1794_0,C90_EColi1794_0,C70_EColi1794_0,C50_EColi1794_0,C40_EColi1794_0,C30_EColi1794_0
EColi1795_1,C95_EColi1795_1,C90_EColi1795_1,C70_EColi1795_1,C50_EColi1795_1,C40_EColi2883_2,C30_EColi2883_2
EColi1796_2,C95_EColi1796_2,C90_EColi1796_2,C70_EColi1796_2,C50_EColi1796_2,C40_EColi1796_2,C30_EColi1796_2
EColi1797_2,C95_EColi1797_2,C90_EColi1797_2,C70_EColi1797_2,C50_EColi1797_2,C40_EColi1400_1,C30_EColi1400_1
EColi1798_1,C95_EColi1798_1,C90_EColi1798_1,C70_EColi1798_1,C50_EColi1798_1,C40_EColi1917_1,C30_EColi1917_1
EColi1799_1,C95_EColi1799_1,C90_EColi1799_1,C70_EColi1799_1,C50_EColi1799_1,C40_EColi1799_1,C30_EColi1799_1
EColi1900_1,C95_EColi1900_1,C90_EColi1900_1,C70_EColi1900_1,C50_EColi1953_1,C40_EColi1953_1,C30_EColi1953_1
EColi1901_0,C95_EColi1901_0,C90_EColi1901_0,C70_EColi1901_0,C50_EColi1901_0,C40_EColi1901_0,C30_EColi1901_0
EColi1902_0,C95_EColi1902_0,C90_EColi1902_0,C70_EColi1902_0,C50_EColi1902_0,C40_EColi1902_0,C30_EColi1902_0
EColi1903_0,C95_EColi1903_0,C90_EColi1903_0,C70_EColi1903_0,C50_EColi1903_0,C40_EColi1903_0,C30_EColi1903_0
EColi1904_0,C95_EColi1904_0,C90_EColi1904_0,C70_EColi1904_0,C50_EColi1904_0,C40_EColi1904_0,C30_EColi1904_0
EColi1905_0,C95_EColi1905_0,C90_EColi1905_0,C70_EColi1905_0,C50_EColi1905_0,C40_EColi1905_0,C30_EColi1905_0
EColi1906_0,C95_EColi1906_0,C90_EColi1906_0,C70_EColi1906_0,C50_EColi1906_0,C40_EColi1906_0,C30_EColi1906_0
EColi1907_0,C95_EColi1907_0,C90_EColi1907_0,C70_EColi1907_0,C50_EColi1907_0,C40_EColi1907_0,C30_EColi1907_0
EColi1908_0,C95_EColi1908_0,C90_EColi1908_0,C70_EColi1908_0,C50_EColi1908_0,C40_EColi1908_0,C30_EColi4635_0
EColi1909_1,C95_EColi1909_1,C90_EColi1909_1,C70_EColi1909_1,C50_EColi1909_1,C40_EColi1909_1,C30_EColi4995_1
EColi1910_0,C95_EColi1910_0,C90_EColi1910_0,C70_EColi1910_0,C50_EColi1910_0,C40_EColi1910_0,C30_EColi1910_0
EColi1911_0,C95_EColi1911_0,C90_EColi1911_0,C70_EColi1911_0,C50_EColi1911_0,C40_EColi1911_0,C30_EColi1911_0
EColi1912_0,C95_EColi1912_0,C90_EColi1912_0,C70_EColi1912_0,C50_EColi1912_0,C40_EColi1912_0,C30_EColi4546_0
EColi1913_1,C95_EColi1913_1,C90_EColi1913_1,C70_EColi1913_1,C50_EColi1913_1,C40_EColi1913_1,C30_EColi1913_1
EColi1914_0,C95_EColi1914_0,C90_EColi1914_0,C70_EColi1914_0,C50_EColi1914_0,C40_EColi1914_0,C30_EColi1914_0
EColi1915_0,C95_EColi1915_0,C90_EColi1915_0,C70_EColi1915_0,C50_EColi1915_0,C40_EColi1915_0,C30_EColi1915_0
EColi1916_2,C95_EColi1916_2,C90_EColi1916_2,C70_EColi1916_2,C50_EColi1916_2,C40_EColi4738_1,C30_EColi1916_2
EColi1917_1,C95_EColi1917_1,C90_EColi1917_1,C70_EColi1917_1,C50_EColi1917_1,C40_EColi1917_1,C30_EColi1917_1
EColi1918_2,C95_EColi1918_2,C90_EColi1918_2,C70_EColi1918_2,C50_EColi1918_2,C40_EColi1918_2,C30_EColi1918_2
EColi1919_0,C95_EColi1919_0,C90_EColi1919_0,C70_EColi1919_0,C50_EColi1919_0,C40_EColi1919_0,C30_EColi6314_1
EColi1920_1,C95_EColi1920_1,C90_EColi1920_1,C70_EColi1920_1,C50_EColi1920_1,C40_EColi1920_1,C30_EColi5505_0
EColi1921_0,C95_EColi1921_0,C90_EColi1921_0,C70_EColi1921_0,C50_EColi1921_0,C40_EColi1921_0,C30_EColi1921_0
EColi1922_0,C95_EColi1922_0,C90_EColi1922_0,C70_EColi1922_0,C50_EColi1922_0,C40_EColi1922_0,C30_EColi1922_0
EColi1923_0,C95_EColi1923_0,C90_EColi1923_0,C70_EColi1923_0,C50_EColi5812_0,C40_EColi5812_0,C30_EColi1923_0
EColi1924_0,C95_EColi1924_0,C90_EColi1924_0,C70_EColi1924_0,C50_EColi1924_0,C40_EColi1924_0,C30_EColi1924_0
EColi1925_1,C95_EColi1925_1,C90_EColi1925_1,C70_EColi1925_1,C50_EColi1925_1,C40_EColi1925_1,C30_EColi5822_0
EColi1926_2,C95_EColi1926_2,C90_EColi1926_2,C70_EColi1926_2,C50_EColi1926_2,C40_EColi1926_2,C30_EColi1926_2
EColi1927_0,C95_EColi1927_0,C90_EColi1927_0,C70_EColi1927_0,C50_EColi1927_0,C40_EColi1927_0,C30_EColi1927_0
EColi1928_1,C95_EColi1928_1,C90_EColi1928_1,C70_EColi1928_1,C50_EColi1928_1,C40_EColi1928_1,C30_EColi1928_1
EColi1929_2,C95_EColi1929_2,C90_EColi1929_2,C70_EColi1929_2,C50_EColi1929_2,C40_EColi1929_2,C30_EColi4894_2
EColi1930_2,C95_EColi1930_2,C90_EColi1930_2,C70_EColi1930_2,C50_EColi1930_2,C40_EColi1930_2,C30_EColi3907_1
EColi1931_0,C95_EColi1931_0,C90_EColi1931_0,C70_EColi1931_0,C50_EColi1931_0,C40_EColi1931_0,C30_EColi1931_0
EColi1932_1,C95_EColi1932_1,C90_EColi1932_1,C70_EColi1932_1,C50_EColi1932_1,C40_EColi1932_1,C30_EColi5801_2
EColi1933_0,C95_EColi1933_0,C90_EColi1933_0,C70_EColi1933_0,C50_EColi1963_1,C40_EColi1963_1,C30_EColi5664_0
EColi1934_1,C95_EColi1934_1,C90_EColi1934_1,C70_EColi1934_1,C50_EColi1934_1,C40_EColi1934_1,C30_EColi2402_2
EColi1935_0,C95_EColi1935_0,C90_EColi1935_0,C70_EColi1935_0,C50_EColi1935_0,C40_EColi1935_0,C30_EColi1935_0
EColi1936_0,C95_EColi1936_0,C90_EColi1936_0,C70_EColi1936_0,C50_EColi1936_0,C40_EColi1936_0,C30_EColi1936_0
EColi1937_0,C95_EColi1937_0,C90_EColi1937_0,C70_EColi1937_0,C50_EColi1937_0,C40_EColi1937_0,C30_EColi1938_0
EColi1938_0,C95_EColi1938_0,C90_EColi1938_0,C70_EColi1938_0,C50_EColi1938_0,C40_EColi1939_0,C30_EColi1938_0
EColi1939_0,C95_EColi1939_0,C90_EColi1939_0,C70_EColi1939_0,C50_EColi1939_0,C40_EColi1939_0,C30_EColi1938_0
EColi1940_2,C95_EColi1940_2,C90_EColi1940_2,C70_EColi1940_2,C50_EColi5091_2,C40_EColi5091_2,C30_EColi5091_2
EColi1941_1,C95_EColi1941_1,C90_EColi1941_1,C70_EColi1941_1,C50_EColi1941_1,C40_EColi1941_1,C30_EColi1776_2
EColi1942_2,C95_EColi1942_2,C90_EColi1942_2,C70_EColi1942_2,C50_EColi1942_2,C40_EColi1942_2,C30_EColi4994_0
EColi1943_1,C95_EColi1943_1,C90_EColi1943_1,C70_EColi1943_1,C50_EColi1943_1,C40_EColi1943_1,C30_EColi1943_1
EColi1944_2,C95_EColi1944_2,C90_EColi1944_2,C70_EColi1944_2,C50_EColi1944_2,C40_EColi1944_2,C30_EColi3083_2
EColi1945_1,C95_EColi1945_1,C90_EColi1945_1,C70_EColi1945_1,C50_EColi1945_1,C40_EColi1945_1,C30_EColi1945_1
EColi1946_1,C95_EColi1946_1,C90_EColi1946_1,C70_EColi1946_1,C50_EColi1946_1,C40_EColi3333_1,C30_EColi3333_1
EColi1947_1,C95_EColi1947_1,C90_EColi1947_1,C70_EColi1947_1,C50_EColi1947_1,C40_EColi1947_1,C30_EColi3659_1
EColi1948_0,C95_EColi1948_0,C90_EColi1948_0,C70_EColi1948_0,C50_EColi1948_0,C40_EColi1948_0,C30_EColi4843_0
EColi1949_2,C95_EColi1949_2,C90_EColi1949_2,C70_EColi1949_2,C50_EColi1949_2,C40_EColi1949_2,C30_EColi1949_2
EColi1950_1,C95_EColi1950_1,C90_EColi1950_1,C70_EColi1950_1,C50_EColi1950_1,C40_EColi1950_1,C30_EColi3283_1
EColi1951_1,C95_EColi1951_1,C90_EColi1951_1,C70_EColi1951_1,C50_EColi5036_1,C40_EColi4136_1,C30_EColi4136_1
EColi1952_2,C95_EColi1952_2,C90_EColi1952_2,C70_EColi1952_2,C50_EColi1952_2,C40_EColi1952_2,C30_EColi1952_2
EColi1953_1,C95_EColi1953_1,C90_EColi1953_1,C70_EColi1953_1,C50_EColi1953_1,C40_EColi1953_1,C30_EColi1953_1
EColi1954_0,C95_EColi1954_0,C90_EColi1954_0,C70_EColi1954_0,C50_EColi1954_0,C40_EColi1904_0,C30_EColi1904_0
EColi1955_0,C95_EColi1955_0,C90_EColi1955_0,C70_EColi1955_0,C50_EColi1955_0,C40_EColi1955_0,C30_EColi1955_0
EColi1956_0,C95_EColi1956_0,C90_EColi1956_0,C70_EColi1956_0,C50_EColi1956_0,C40_EColi1956_0,C30_EColi4981_1
EColi1957_1,C95_EColi1957_1,C90_EColi1957_1,C70_EColi1957_1,C50_EColi1957_1,C40_EColi1918_2,C30_EColi1918_2
EColi1958_0,C95_EColi1958_0,C90_EColi1958_0,C70_EColi1958_0,C50_EColi1958_0,C40_EColi1958_0,C30_EColi498_2
EColi1959_0,C95_EColi1959_0,C90_EColi1959_0,C70_EColi1959_0,C50_EColi2661_2,C40_EColi2661_2,C30_EColi2661_2
EColi1960_2,C95_EColi1960_2,C90_EColi1960_2,C70_EColi1960_2,C50_EColi1960_2,C40_EColi1960_2,C30_EColi1960_2
EColi1961_0,C95_EColi1961_0,C90_EColi1961_0,C70_EColi1961_0,C50_EColi1961_0,C40_EColi1961_0,C30_EColi1961_0
EColi1962_0,C95_EColi1962_0,C90_EColi1962_0,C70_EColi1962_0,C50_EColi1962_0,C40_EColi1962_0,C30_EColi1962_0
EColi1963_1,C95_EColi1963_1,C90_EColi1963_1,C70_EColi1963_1,C50_EColi1963_1,C40_EColi1963_1,C30_EColi5664_0
EColi1964_0,C95_EColi1964_0,C90_EColi1964_0,C70_EColi1964_0,C50_EColi1964_0,C40_EColi1964_0,C30_EColi1964_0
EColi1965_1,C95_EColi1965_1,C90_EColi1965_1,C70_EColi1965_1,C50_EColi1965_1,C40_EColi5067_0,C30_EColi5067_0
EColi1966_0,C95_EColi1966_0,C90_EColi1966_0,C70_EColi1966_0,C50_EColi1966_0,C40_EColi5199_1,C30_EColi3267_0
EColi1967_1,C95_EColi1967_1,C90_EColi1967_1,C70_EColi1967_1,C50_EColi1967_1,C40_EColi1967_1,C30_EColi2499_1
EColi1968_2,C95_EColi1968_2,C90_EColi1968_2,C70_EColi1968_2,C50_EColi1968_2,C40_EColi1968_2,C30_EColi1968_2
EColi1969_1,C95_EColi1969_1,C90_EColi1969_1,C70_EColi1969_1,C50_EColi1969_1,C40_EColi1969_1,C30_EColi1969_1
EColi1970_0,C95_EColi1970_0,C90_EColi1970_0,C70_EColi1970_0,C50_EColi1947_1,C40_EColi1947_1,C30_EColi3659_1
EColi1971_0,C95_EColi1971_0,C90_EColi1971_0,C70_EColi1971_0,C50_EColi1971_0,C40_EColi1971_0,C30_EColi3341_1
EColi1972_1,C95_EColi1972_1,C90_EColi1972_1,C70_EColi1972_1,C50_EColi1681_0,C40_EColi1879_0,C30_EColi1879_0
EColi1973_1,C95_EColi1973_1,C90_EColi1973_1,C70_EColi1973_1,C50_EColi1879_0,C40_EColi1879_0,C30_EColi1879_0
EColi1974_0,C95_EColi1974_0,C90_EColi1974_0,C70_EColi1974_0,C50_EColi1974_0,C40_EColi1974_0,C30_EColi1974_0
EColi1975_0,C95_EColi1975_0,C90_EColi1975_0,C70_EColi1975_0,C50_EColi1975_0,C40_EColi1975_0,C30_EColi1975_0
EColi1976_1,C95_EColi1976_1,C90_EColi1976_1,C70_EColi1976_1,C50_EColi1976_1,C40_EColi1976_1,C30_EColi1976_1
EColi1977_1,C95_EColi1977_1,C90_EColi1977_1,C70_EColi1977_1,C50_EColi1977_1,C40_EColi1977_1,C30_EColi1977_1
EColi1978_1,C95_EColi1978_1,C90_EColi1978_1,C70_EColi1978_1,C50_EColi1885_1,C40_EColi2693_2,C30_EColi2693_2
EColi1979_1,C95_EColi1979_1,C90_EColi1979_1,C70_EColi1979_1,C50_EColi5807_0,C40_EColi1979_1,C30_EColi1979_1
EColi1980_1,C95_EColi1980_1,C90_EColi1980_1,C70_EColi1980_1,C50_EColi3840_2,C40_EColi3840_2,C30_EColi3840_2
EColi1981_1,C95_EColi1981_1,C90_EColi1981_1,C70_EColi1981_1,C50_EColi1981_1,C40_EColi1981_1,C30_EColi1981_1
EColi1982_1,C95_EColi1982_1,C90_EColi1982_1,C70_EColi1982_1,C50_EColi1982_1,C40_EColi1982_1,C30_EColi4348_0
EColi1983_2,C95_EColi1983_2,C90_EColi1983_2,C70_EColi1983_2,C50_EColi25_0,C40_EColi25_0,C30_EColi25_0
EColi1984_1,C95_EColi1984_1,C90_EColi1984_1,C70_EColi1984_1,C50_EColi5300_1,C40_EColi5300_1,C30_EColi1650_1
EColi1985_1,C95_EColi1985_1,C90_EColi1985_1,C70_EColi1985_1,C50_EColi1985_1,C40_EColi6099_1,C30_EColi6099_1
EColi1986_1,C95_EColi1986_1,C90_EColi1986_1,C70_EColi1986_1,C50_EColi1356_1,C40_EColi4435_1,C30_EColi356_1
EColi1987_2,C95_EColi1987_2,C90_EColi1987_2,C70_EColi1987_2,C50_EColi2189_0,C40_EColi2189_0,C30_EColi2189_0
